airport,year,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,growth_rate,delay_change
ATL,2005,429800.0,105351.0,18664.05,4411.28,62200.63,94.32,19980.72,0.0307226329711,0.0145316923788
ATL,2006,404829.0,105673.0,23678.07,5025.8,51601.66,165.64,25201.83,-0.0580991158678,0.00305644939298
ATL,2007,413867.0,96952.0,27720.66,5650.83,36539.37,112.68,26928.49,0.0223254756947,-0.0825281765446
ATL,2008,414521.0,93706.0,20821.75,4290.12,41823.06,78.11,26693.02,0.00158021779944,-0.0334804851885
ATL,2009,419208.0,107439.0,15450.41,2414.66,54673.08,48.39,34852.52,0.0113070266645,0.146554116065
ATL,2010,414596.0,77891.0,16303.07,2329.66,32885.3,73.27,26299.72,-0.0110016984409,-0.275021174806
ATL,2011,393051.0,69197.0,14822.94,1516.25,25926.55,51.16,26880.08,-0.0519662514834,-0.111617516786
ATL,2012,391953.0,56370.0,13447.57,1242.97,20620.89,50.12,21008.52,-0.00279353061053,-0.185369307918
ATL,2013,398882.0,72292.0,15779.03,2124.43,27456.47,65.16,26866.94,0.0176781399811,0.28245520667
ATL,2014,369842.0,62396.0,15564.53,1657.71,20717.72,40.91,24415.26,-0.0728034857427,-0.136889282355
ATL,2015,379498.0,55176.0,15762.03,1701.3,17394.94,64.33,20253.49,0.0261084463095,-0.115712545676
BOS,2005,127993.0,30871.0,6500.08,1275.78,14894.98,56.99,8143.26,-0.0330371847755,0.197896860813
BOS,2006,131030.0,33535.0,7097.73,1508.55,15783.35,54.32,9091.09,0.0237278601174,0.0862945806744
BOS,2007,128388.0,34466.0,8247.76,1720.66,14372.84,50.27,10074.32,-0.0201633213768,0.0277620396601
BOS,2008,117944.0,27634.0,6241.77,1191.37,12210.4,31.67,7958.83,-0.0813471664018,-0.198224337028
BOS,2009,110763.0,23125.0,5474.98,860.72,10639.67,17.3,6132.39,-0.0608848266974,-0.163168560469
BOS,2010,113523.0,23700.0,5936.28,701.67,10484.38,44.75,6532.91,0.024918068308,0.0248648648649
BOS,2011,109693.0,25158.0,6018.95,675.34,11067.74,23.69,7372.33,-0.0337376566863,0.0615189873418
BOS,2012,103215.0,18117.0,5544.16,453.39,6000.92,27.31,6091.2,-0.0590557282598,-0.279871213928
BOS,2013,111365.0,22400.0,6182.28,591.56,7219.74,37.33,8369.16,0.0789613912706,0.236407793785
BOS,2014,110630.0,22316.0,6198.45,762.94,7286.75,41.36,8026.53,-0.00659991918466,-0.00375
BOS,2015,118012.0,24246.0,7010.43,775.26,7740.18,26.37,8693.8,0.0667269275965,0.0864850331601
BWI,2005,106792.0,19671.0,5017.58,709.99,5115.99,54.37,8773.18,0.00690175372431,0.0316236626809
BWI,2006,107576.0,20311.0,5292.32,841.75,4920.09,91.34,9165.66,0.00734137388568,0.0325352041076
BWI,2007,109395.0,22782.0,5872.05,948.11,6193.01,78.74,9690.1,0.0169089759798,0.12165821476
BWI,2008,104068.0,19396.0,4778.19,898.34,5059.65,54.82,8605.01,-0.0486950957539,-0.148626108331
BWI,2009,101280.0,16618.0,4286.28,692.92,4265.71,50.61,7322.45,-0.0267901756544,-0.1432254073
BWI,2010,105563.0,18972.0,4973.05,637.57,4990.15,67.05,8304.17,0.0422887045814,0.141653628595
BWI,2011,104577.0,17454.0,4267.16,655.81,5035.49,51.41,7444.07,-0.00934039388801,-0.0800126502214
BWI,2012,103343.0,17370.0,4256.36,694.11,5633.16,64.56,6721.86,-0.0117999177639,-0.00481265039532
BWI,2013,100319.0,19549.0,5106.44,641.88,4984.17,41.48,8775.06,-0.0292617787368,0.12544617156
BWI,2014,90845.0,18808.0,5487.75,578.03,3818.88,41.15,8882.27,-0.0944387404181,-0.0379047521612
BWI,2015,94105.0,16295.0,4725.99,671.9,3953.06,35.32,6908.68,0.0358852991359,-0.133613356019
CLT,2005,114553.0,21031.0,5833.3,716.01,8125.0,15.04,6341.63,0.0641640190996,0.278791195427
CLT,2006,117474.0,26131.0,7692.43,766.65,9493.42,31.94,8146.53,0.0254991139473,0.242499167895
CLT,2007,127131.0,33950.0,9719.01,813.15,12596.28,91.8,10729.87,0.082205424179,0.299223144924
CLT,2008,126030.0,24924.0,7321.76,738.3,10622.7,77.38,6163.81,-0.00866035821318,-0.265861561119
CLT,2009,117311.0,21906.0,5857.11,634.89,10857.62,37.45,4518.96,-0.0691819408077,-0.121088107848
