date,delay_change,growth_rate,delay_percentage,delay_percentage_change,year
1/1/04,0.027389923,0.022909441,0.217187517,0.005321008,2004
2/1/04,-0.129966386,-0.047134361,0.194910484,-0.087967838,2004
3/1/04,-0.019822373,0.088571035,0.169893869,-0.099896831,2004
4/1/04,-0.050076177,-0.028084777,0.162585986,-0.02266456,2004
5/1/04,0.26191443,0.017283206,0.199289493,0.23911192,2004
6/1/04,0.256743121,-0.003019415,0.241900911,0.262863217,2004
7/1/04,-0.01346858,0.047429523,0.224972826,-0.060743238,2004
8/1/04,-0.056053195,0.01362095,0.208332413,-0.068457298,2004
9/1/04,-0.402544336,-0.067619922,0.133864726,-0.359985404,2004
10/1/04,0.390613743,0.051369904,0.16776005,0.328640403,2004
11/1/04,0.100739384,-0.034245661,0.184815076,0.137982705,2004
12/1/04,0.524492335,0.038503097,0.263231709,0.466067031,2004
1/1/05,-0.080407504,-0.022374424,0.24635388,-0.059679406,2005
2/1/05,-0.209340573,-0.079188904,0.210890981,-0.142845544,2005
3/1/05,0.236875827,0.136607031,0.227130833,0.0873448,2005
4/1/05,-0.315970002,-0.037548383,0.158380959,-0.289873876,2005
5/1/05,0.091723483,0.036227194,0.163295114,0.050438698,2005
6/1/05,0.500538108,-0.006716166,0.244450398,0.51221496,2005
7/1/05,0.174089489,0.035658948,0.272722259,0.134655942,2005
8/1/05,-0.168619575,0.001274066,0.223646411,-0.169325683,2005
9/1/05,-0.351362212,-0.087484498,0.157593235,-0.291316683,2005
10/1/05,0.218722557,0.036579203,0.184100147,0.172938388,2005
11/1/05,0.055562684,-0.042641865,0.195826128,0.099974609,2005
12/1/05,0.480593185,0.021858213,0.27457947,0.446719032,2005
1/1/06,-0.244068407,0.01138406,0.20312445,-0.25256705,2006
2/1/06,0.051657001,-0.081631675,0.227109018,0.146255236,2006
3/1/06,0.091428418,0.140172046,0.217758301,-0.042614352,2006
4/1/06,-0.087424293,-0.036724522,0.202261289,-0.052222948,2006
5/1/06,0.03810964,0.022638565,0.204231328,0.017773763,2006
6/1/06,0.292242273,-0.008964003,0.260885415,0.303219004,2006
7/1/06,-0.009603271,0.03716969,0.248245787,-0.045118874,2006
8/1/06,-0.083564817,0.012381892,0.221983741,-0.094623771,2006
9/1/06,-0.087436467,-0.072417372,0.218744964,-0.017550165,2006
10/1/06,0.181224061,0.049315711,0.242007269,0.125241828,2006
11/1/06,-0.076875203,-0.036194789,0.229764774,-0.043052958,2006
12/1/06,0.25634309,0.037216432,0.265418145,0.207025302,2006
1/1/07,-0.069876407,0.016412877,0.241744259,-0.084534165,2007
2/1/07,0.104570461,-0.087724007,0.287628763,0.209548175,2007
3/1/07,-0.001892855,0.131626337,0.253988931,-0.117668245,2007
4/1/07,-0.094561066,-0.03965546,0.238888204,-0.057310975,2007
5/1/07,-0.045387609,0.01883477,0.219480372,-0.064966147,2007
6/1/07,0.369471208,-0.011530117,0.297716127,0.382485227,2007
7/1/07,-0.009683134,0.030431328,0.283603455,-0.039394711,2007
8/1/07,-0.044682442,0.004360606,0.266883489,-0.049075785,2007
9/1/07,-0.406307311,-0.080634028,0.172368073,-0.354500005,2007
10/1/07,0.335413337,0.048033052,0.218819281,0.272930246,2007
11/1/07,-0.122242293,-0.032018523,0.198787309,-0.090819598,2007
12/1/07,0.761237459,0.02317565,0.320893611,0.71792835,2007
1/1/08,-0.240147815,-0.01590168,0.247568646,-0.227323347,2008
